month,ticker,security,removed,assigned_cik,method,assigned_domestic,assigned_foreign,best_cik,best_name,best_domestic,best_foreign,best_run,class
2011-12-31,FOXA,21st Century Fox,true,1754301,company_tickers,0,0,1069996,21ST CENTURY HOLDING CO,2,0,2,map_wrong
2011-12-31,GAS,AGL Resources,true,,none,0,0,1004155,AGL RESOURCES INC,6,0,2,map_wrong
2011-12-31,GHC,Graham Holdings,true,,none,0,0,1461219,GRAHAM ALTERNATIVE INVESTMENT FUND I LLC,2,0,1,map_wrong
2011-12-31,HNZ,Heinz,true,,none,0,0,46640,HEINZ H J CO,6,0,1,map_wrong
2011-12-31,HOT,Starwood Hotels and Resorts,true,,none,0,0,316206,STARWOOD HOTEL & RESORTS WORLDWIDE INC,6,0,1,map_wrong
2011-12-31,IPG,Interpublic Group,true,,none,0,0,51644,"INTERPUBLIC GROUP OF COMPANIES, INC.",6,0,1,map_wrong
2011-12-31,KFT,Kraft Foods,true,,none,0,0,1103982,KRAFT FOODS INC,6,0,2,map_wrong
2011-12-31,LO,Lorillard Tobacco Company,true,,none,0,0,1424847,"LORILLARD, INC.",6,0,1,map_wrong
2011-12-31,LSI,LSI Corporation,true,,none,0,0,703360,LSI CORP,6,0,1,map_wrong
2011-12-31,LXK,Lexmark,true,,none,0,0,1001288,LEXMARK INTERNATIONAL INC /KY/,6,0,1,map_wrong
2011-12-31,MDT,Medtronic,false,1613103,company_tickers,0,0,64670,MEDTRONIC INC,8,0,1,map_wrong
2011-12-31,NE,Noble Corporation,true,,none,0,0,72207,NOBLE ENERGY INC,6,0,1,map_wrong
2011-12-31,OI,Owens-Illinois,true,,none,0,0,812074,OWENS ILLINOIS INC /DE/,6,0,2,map_wrong
2011-12-31,PCS,MetroPCS,true,,none,0,0,1283699,METROPCS COMMUNICATIONS INC,6,0,1,map_wrong
2011-12-31,PRGO,Perrigo,true,,none,0,0,820096,PERRIGO CO,5,0,1,map_wrong
2011-12-31,PSKY,Paramount Skydance Corporation,false,2041610,company_tickers,0,0,1342854,PARAMOUNT GOLD & SILVER CORP.,1,0,1,map_wrong
2011-12-31,SNDK,SanDisk,true,2023554,company_tickers,0,0,1000180,SANDISK CORP,6,0,1,map_wrong
2011-12-31,SUN,Sunoco,true,,none,0,0,1161154,SUNOCO LOGISTICS PARTNERS L.P.,6,0,1,map_wrong
2011-12-31,TYC,Tyco International,true,,none,0,0,833444,TYCO INTERNATIONAL LTD,6,0,1,map_wrong
2011-12-31,VNO,Vornado Realty Trust,true,,none,0,0,899689,VORNADO REALTY TRUST,6,0,2,map_wrong
2011-12-31,WIN,Windstream Communications,true,,none,0,0,1282266,WINDSTREAM CORP,6,0,1,map_wrong
2011-12-31,XRX,Xerox,true,,none,0,0,108772,XEROX CORP,6,0,1,map_wrong
2011-12-31,APA,APA Corporation,false,1841666,company_tickers,0,0,,,,,,no_xbrl
2011-12-31,BCR,CR Bard,true,,none,0,0,,,,,,no_xbrl
2011-12-31,BEAM,Suntory Global Spirits,true,,none,0,0,,,,,,no_xbrl
2011-12-31,FTI,TechnipFMC,true,1681459,name_match,0,0,,,,,,no_xbrl
2011-12-31,GOOGL,Alphabet Inc. (Class A),true,1652044,company_tickers,0,0,,,,,,no_xbrl
2011-12-31,ICE,Intercontinental Exchange,false,1571949,company_tickers,0,0,,,,,,no_xbrl
2011-12-31,LIN,Linde plc,false,1707925,company_tickers,0,0,,,,,,no_xbrl
2011-12-31,LLL,L3 Technologies,true,1039101,name_match,0,0,,,,,,no_xbrl
2011-12-31,TSS,TSYS,true,,none,0,0,,,,,,no_xbrl
2011-12-31,VTRS,Viatris,false,1792044,company_tickers,0,0,,,,,,no_xbrl
2011-12-31,WBA,Walgreens Boots Alliance,true,1618921,name_match,0,0,,,,,,no_xbrl
2011-12-31,WPX,WPX Energy,true,1518832,name_match,0,0,,,,,,no_xbrl
2011-12-31,HON,Honeywell Technologies,false,773840,company_tickers,6,0,773840,HONEYWELL INTERNATIONAL INC,6,0,1,other
2011-12-31,HST,Host Hotels & Resorts,false,1070750,company_tickers,6,0,1070750,"HOST HOTELS & RESORTS, INC.",6,0,4,other
2011-12-31,PCL,Plum Creek Timber,true,849213,name_match,6,0,849213,PLUM CREEK TIMBER CO INC,6,0,3,other
2015-12-31,AA,Alcoa,true,,none,0,0,4281,ALCOA INC,6,0,1,map_wrong
2015-12-31,AAL,American Airlines Group,true,,none,0,0,6201,AMERICAN AIRLINES GROUP INC.,6,0,2,map_wrong
2015-12-31,ACE,Chubb,true,,none,0,0,20171,CHUBB CORP,6,0,1,map_wrong
2015-12-31,ADT,ADT,true,,none,0,0,1546640,ADT CORP,6,0,1,map_wrong
2015-12-31,AET,Aetna,true,,none,0,0,1122304,AETNA INC /PA/,6,0,1,map_wrong
2015-12-31,AGN,Allergan,true,,none,0,0,1578845,ALLERGAN PLC,6,0,1,map_wrong
2015-12-31,AIV,Aimco,true,,none,0,0,926660,AIMCO PROPERTIES L.P.,1,0,1,map_wrong
2015-12-31,AN,AutoNation,true,,none,0,0,350698,"AUTONATION, INC.",6,0,1,map_wrong
2015-12-31,AVGO,Broadcom,false,1730168,company_tickers,0,0,1054374,BROADCOM CORP,6,0,1,map_wrong
2015-12-31,BBBY,Bed Bath & Beyond,true,,none,0,0,886158,BED BATH & BEYOND INC,5,0,4,map_wrong
2015-12-31,BHI,Baker Hughes,true,,none,0,0,808362,BAKER HUGHES INC,6,0,2,map_wrong
2015-12-31,BLK,BlackRock,false,2012383,company_tickers,0,0,1364742,BLACKROCK INC.,6,0,1,map_wrong
2015-12-31,BRCM,Broadcom Corporation,true,,none,0,0,1054374,BROADCOM CORP,6,0,1,map_wrong
2015-12-31,CA,CA Technologies,true,,none,0,0,356028,"CA, INC.",6,0,1,map_wrong
2015-12-31,CCE,Coca-Cola Enterprises,true,,none,0,0,317540,COCA COLA BOTTLING CO CONSOLIDATED /DE/,6,0,2,map_wrong
2015-12-31,CI,Cigna,false,1739940,company_tickers,0,0,701221,CIGNA CORP,6,0,1,map_wrong
2015-12-31,CNX,Consol Energy,true,,none,0,0,1070412,CONSOL ENERGY INC,6,0,2,map_wrong
2015-12-31,DD,DuPont,true,1666700,company_tickers,0,0,1407739,"DUPONT FABROS TECHNOLOGY, INC.",6,0,1,map_wrong
2015-12-31,DIS,Walt Disney Company (The),false,1744489,company_tickers,0,0,1001039,WALT DISNEY CO/,6,0,2,map_wrong
2015-12-31,DNB,Dun & Bradstreet,true,1799208,name_match,0,0,1115222,DUN & BRADSTREET CORP/NW,6,0,3,map_wrong
2015-12-31,DOW,Dow Chemical Company,true,1751788,company_tickers,0,0,29915,DOW CHEMICAL CO /DE/,6,0,2,map_wrong
2015-12-31,ENDP,Endo International,true,,none,0,0,1593034,ENDO INTERNATIONAL PLC,6,0,1,map_wrong
2015-12-31,ESRX,Express Scripts,true,,none,0,0,1532063,EXPRESS SCRIPTS HOLDING CO.,6,0,2,map_wrong
2015-12-31,FOX,21st Century Fox,true,1754301,company_tickers,0,0,1503518,"21ST CENTURY ONCOLOGY HOLDINGS, INC.",5,0,2,map_wrong
2015-12-31,FOXA,21st Century Fox,true,1754301,company_tickers,0,0,1503518,"21ST CENTURY ONCOLOGY HOLDINGS, INC.",5,0,2,map_wrong
2015-12-31,GAS,AGL Resources,true,,none,0,0,1004155,AGL RESOURCES INC,10,0,2,map_wrong
2015-12-31,HOT,Starwood Hotels and Resorts,true,,none,0,0,316206,"STARWOOD HOTEL & RESORTS WORLDWIDE, INC",6,0,1,map_wrong
2015-12-31,IPG,Interpublic Group,true,,none,0,0,51644,"INTERPUBLIC GROUP OF COMPANIES, INC.",6,0,1,map_wrong
2015-12-31,MHK,Mohawk Industries,true,,none,0,0,851968,MOHAWK INDUSTRIES INC,6,0,1,map_wrong
2015-12-31,OI,Owens-Illinois,true,,none,0,0,812074,OWENS ILLINOIS INC /DE/,6,0,2,map_wrong
2015-12-31,PRGO,Perrigo,true,,none,0,0,1585364,PERRIGO CO PLC,6,0,1,map_wrong
2015-12-31,PSKY,Paramount Skydance Corporation,false,2041610,company_tickers,0,0,1629210,PARAMOUNT GOLD NEVADA CORP.,3,0,1,map_wrong
2015-12-31,SNDK,SanDisk,true,2023554,company_tickers,0,0,1000180,SANDISK CORP,6,0,1,map_wrong
2015-12-31,TYC,Tyco International,true,,none,0,0,833444,TYCO INTERNATIONAL PLC,6,0,1,map_wrong
2015-12-31,VNO,Vornado Realty Trust,true,,none,0,0,899689,VORNADO REALTY TRUST,6,0,2,map_wrong
2015-12-31,XRX,Xerox,true,,none,0,0,108772,XEROX CORP,6,0,1,map_wrong
2015-12-31,APA,APA Corporation,false,1841666,company_tickers,0,0,,,,,,no_xbrl
2015-12-31,BCR,CR Bard,true,,none,0,0,,,,,,no_xbrl
2015-12-31,FTI,TechnipFMC,true,1681459,name_match,0,0,,,,,,no_xbrl
2015-12-31,LIN,Linde plc,false,1707925,company_tickers,0,0,,,,,,no_xbrl
2015-12-31,LLL,L3 Technologies,true,1039101,name_match,0,0,,,,,,no_xbrl
2015-12-31,TSS,TSYS,true,,none,0,0,,,,,,no_xbrl
2015-12-31,VTRS,Viatris,false,1792044,company_tickers,0,0,,,,,,no_xbrl
2015-12-31,LM,Legg Mason,true,704051,name_match,6,0,704051,"LEGG MASON, INC.",6,0,2,other
2015-12-31,PCL,Plum Creek Timber,true,849213,name_match,6,0,849213,PLUM CREEK TIMBER CO INC,6,0,3,other
2022-12-31,AAL,American Airlines Group,true,,none,0,0,6201,AMERICAN AIRLINES GROUP INC.,6,0,2,map_wrong
2022-12-31,BLK,BlackRock,false,2012383,company_tickers,0,0,1364742,BLACKROCK INC.,6,0,1,map_wrong
2022-12-31,CDAY,Ceridian,true,,none,0,0,1725057,CERIDIAN HCM HOLDING INC.,6,0,1,map_wrong
2022-12-31,CZR,Caesars Entertainment,true,,none,0,0,1590895,"CAESARS ENTERTAINMENT, INC.",6,0,2,map_wrong
2022-12-31,IPG,Interpublic Group,true,,none,0,0,51644,"INTERPUBLIC GROUP OF COMPANIES, INC.",6,0,1,map_wrong
2022-12-31,MHK,Mohawk Industries,true,,none,0,0,851968,MOHAWK INDUSTRIES INC,6,0,1,map_wrong
2022-12-31,MTCH,Match Group,true,,none,0,0,891103,"MATCH GROUP, INC.",6,0,1,map_wrong
2022-12-31,PAYC,Paycom,true,,none,0,0,1590955,"PAYCOM SOFTWARE, INC.",6,0,1,map_wrong
2022-12-31,PSKY,Paramount Skydance Corporation,false,2041610,company_tickers,0,0,1629210,PARAMOUNT GOLD NEVADA CORP.,6,0,1,map_wrong
2022-12-31,SBNY,Signature Bank,true,,none,0,0,1267919,SIGNATURE DEVICES INC,8,0,1,map_wrong
2022-12-31,SEDG,SolarEdge,true,,none,0,0,1419612,"SOLAREDGE TECHNOLOGIES, INC.",6,0,1,map_wrong
2022-12-31,VNO,Vornado Realty Trust,true,,none,0,0,899689,VORNADO REALTY TRUST,6,0,2,map_wrong
2022-12-31,FRC,First Republic Bank,true,1143834,name_match,0,0,,,,,,no_xbrl
