ticker,cik,fy,float_date,month,close,shares,shares_source,cap,public_float,ratio,flag,reason
LUV,92380,2011,2011-12-31,2011-12-31,8.5600004196167,778522395.0,cover,6664152027.880998,9119884998.0,0.7307276384891315,"",""
LUV,92380,2012,2012-12-31,2012-12-31,10.239999771118164,737979436.0,cover,7556909255.729912,6841926245.0,1.1045002511174997,"",""
LUV,92380,2013,2013-06-28,2013-05-31,14.170000076293945,722296988.0,cover,10234948375.066887,9088020821.0,1.1262021265858726,"",""
LUV,92380,2014,2014-06-30,2014-06-30,26.860000610351562,691843165.0,cover,18582907834.167557,18358439198.0,1.012227000005099,"",""
LUV,92380,2015,2015-06-30,2015-06-30,33.09000015258789,668296625.0,cover,22113935423.223972,21774060585.0,1.0156091619611873,"",""
LUV,92380,2016,2016-06-30,2016-06-30,39.209999084472656,638686803.0,cover,25042908960.894768,24270482662.0,1.0318257493949285,"",""
LUV,92380,2017,2017-06-30,2017-06-30,62.13999938964844,604662683.0,cover,37573738752.56319,37211057645.0,1.0097465949778484,"",""
LUV,92380,2018,2018-06-30,2018-06-30,50.880001068115234,579803228.0,cover,29500388859.93666,29086256077.0,1.014238091758538,"",""
LUV,92380,2019,2019-06-28,2019-05-31,47.599998474121094,543064878.0,cover,25849887364.148758,27212024231.0,0.949943567031684,"",""
LUV,92380,2020,2020-06-30,2020-06-30,34.18000030517578,508885530.0,cover,17393707570.69954,20094518012.0,0.8655946641921146,"",""
LUV,92380,2021,2021-06-30,2021-06-30,53.09000015258789,591376576.0,cover,31396182510.076904,31305364914.0,1.002901023397312,"",""
LUV,92380,2022,2022-06-30,2022-06-30,36.119998931884766,592956438.0,cover,21417585907.214195,21357830046.0,1.0027978432774067,"",""
LUV,92380,2023,2023-06-30,2023-06-30,36.209999084472656,595073046.0,cover,21547594450.854355,21499447826.0,1.0022394354145285,"",""
LUV,92380,2024,2024-06-30,2024-06-30,28.610000610351562,598456459.0,cover,17121839657.258835,17086581902.0,1.0020634762096396,"",""
LUV,92380,2025,2025-06-30,2025-06-30,32.439998626708984,569865799.0,cover,18486445736.96842,16890396912.0,1.0944944534627534,"",""
LVLT,794323,2010,2010-06-30,2010-06-30,,,,,1230000000.0,,"",""
LVLT,794323,2011,2011-06-30,2011-06-30,,,,,2990000000.0,,"",""
LVLT,794323,2012,2012-06-30,2012-06-30,,,,,2415000000.0,,"",""
