ticker,sector,months,mean_gap,crossings,replica_op,naive_op,operating_income_fallback,log_pretax_over_ni_plus_tax,interest_over_ni_plus_tax,log_equity_fy_over_equity,driver
EQT,Energy,36,0.07304748244127378,0,0.1291661420624826,0.18729335965111427,0.0,0.0018926104822987776,0.232769603964757,0.055917169972529386,interest add-back
BBY,Consumer Discretionary,36,0.07287600976835634,0,0.27270446562970396,0.2584044154540893,0.0,0.12136085700426748,0.10752688172043011,0.07760990024832791,pretax_income
DIS,Consumer Discretionary,36,0.07285767446894649,0,0.23290324203325033,0.22983475439523127,0.0,0.05337446059137511,0.025767543859649123,0.020767261113243785,none of the three (rank gap under noise)
EXC,Utilities,36,0.07278037594347184,0,0.10996107572540693,0.1552547770700637,0.0,0.0,0.4742156509195817,0.016086894422911356,interest add-back
CNP,Utilities,36,0.07262846590115407,0,0.1804111804111804,0.1804111804111804,0.0,0.0,0.0,0.00934367928382424,none of the three (rank gap under noise)
GT,Materials,36,0.07242190189308559,0,0.5062266500622665,0.7216687422166874,0.0,0.058496206681608626,0.6925566343042071,0.13277288113018007,interest add-back
GLW,Materials,36,0.07090053357296168,0,0.06478593705698894,0.11686041016917116,1.0,,0.0,0.013107447960136933,pretax_income (missing; operating income used)
CB,Financials,36,0.07036633882168106,0,0.17556455571919488,0.17556455571919488,0.0,0.0,0.0,0.01248602986199654,none of the three (rank gap under noise)
BWA,Consumer Discretionary,36,0.07010223703094644,0,0.24686952572503731,0.23989489392071628,0.0,0.03119594054010252,0.0,0.031518577660771256,none of the three (rank gap under noise)
PNW,Utilities,36,0.06997255995872606,0,0.15986692001611646,0.20445586689140702,0.0,0.0,0.2878533708048249,0.006728108736625192,interest add-back
BRK.B,Financials,36,0.06965216044982599,0,0.11849909670818079,0.11589846893368932,0.0,0.01289709084758242,0.0,0.053160719072461546,none of the three (rank gap under noise)
FISV,Industrials,36,0.06901186794752735,0,0.2601697395376061,0.31840796019900497,0.0,0.08329251811089289,0.1680327868852459,0.023142484948083956,interest add-back
BDX,Health Care,36,0.06897780895135165,0,0.30120720364140113,0.3305572080111045,0.0,0.040201539215741246,0.08869908015768725,0.058423641725703856,none of the three (rank gap under noise)
